slug,name,category,price_cents,price_source,calories,protein_g,aliases,nutrition_source,image_url,image_source
big-mac,Big Mac,burgers,649,estimated,540,25,burger,tidytuesday-2018-09-04:Mcdonalds,/menu-images/big-mac.jpeg,kaggle-fastfood-v2:Burger
cheeseburger,Cheeseburger,burgers,549,estimated,300,15,burger|cheese,tidytuesday-2018-09-04:Mcdonalds,/menu-images/cheeseburger.jpeg,kaggle-fastfood-v2:Burger
double-bacon-smokehouse-burger,Double Bacon Smokehouse Burger,burgers,879,estimated,1130,70,burger|bacon,tidytuesday-2018-09-04:Mcdonalds,/menu-images/double-bacon-smokehouse-burger.jpeg,kaggle-fastfood-v2:Burger
double-cheeseburger,Double Cheeseburger,burgers,599,estimated,430,25,burger|cheese,tidytuesday-2018-09-04:Mcdonalds,/menu-images/double-cheeseburger.jpeg,kaggle-fastfood-v2:Burger
double-quarter-pounder-with-cheese,Double Quarter Pounder® with Cheese,burgers,739,estimated,770,51,burger|cheese,tidytuesday-2018-09-04:Mcdonalds,/menu-images/double-quarter-pounder-with-cheese.jpeg,kaggle-fastfood-v2:Burger
garlic-white-cheddar-burger,Garlic White Cheddar Burger,burgers,679,estimated,620,32,burger,tidytuesday-2018-09-04:Mcdonalds,/menu-images/garlic-white-cheddar-burger.jpeg,kaggle-fastfood-v2:Burger
hamburger,Hamburger,burgers,549,estimated,250,13,burger,tidytuesday-2018-09-04:Mcdonalds,/menu-images/hamburger.jpeg,kaggle-fastfood-v2:Burger
maple-bacon-dijon-1-4-lb-burger,Maple Bacon Dijon 1/4 lb Burger,burgers,689,estimated,640,37,burger|bacon,tidytuesday-2018-09-04:Mcdonalds,/menu-images/maple-bacon-dijon-1-4-lb-burger.jpeg,kaggle-fastfood-v2:Burger
pico-guacamole-1-4-lb-burger,Pico Guacamole 1/4 lb Burger,burgers,659,estimated,580,29,burger,tidytuesday-2018-09-04:Mcdonalds,/menu-images/pico-guacamole-1-4-lb-burger.jpeg,kaggle-fastfood-v2:Burger
quarter-pounder-with-cheese,Quarter Pounder® with Cheese,burgers,639,estimated,530,31,burger|cheese,tidytuesday-2018-09-04:Mcdonalds,/menu-images/quarter-pounder-with-cheese.jpeg,kaggle-fastfood-v2:Burger
signature-sriracha-burger,Signature Sriracha Burger,burgers,699,estimated,670,32,burger,tidytuesday-2018-09-04:Mcdonalds,/menu-images/signature-sriracha-burger.jpeg,kaggle-fastfood-v2:Burger
single-bacon-smokehouse-burger,Single Bacon Smokehouse Burger,burgers,769,estimated,840,46,burger|bacon,tidytuesday-2018-09-04:Mcdonalds,/menu-images/single-bacon-smokehouse-burger.jpeg,kaggle-fastfood-v2:Burger
sweet-bbq-bacon-1-4-lb-burger,Sweet BBQ Bacon 1/4 lb Burger,burgers,709,estimated,690,38,burger|bacon,tidytuesday-2018-09-04:Mcdonalds,/menu-images/sweet-bbq-bacon-1-4-lb-burger.jpeg,kaggle-fastfood-v2:Burger
artisan-grilled-chicken-sandwich,Artisan Grilled Chicken Sandwich,chicken,629,estimated,380,37,chicken,tidytuesday-2018-09-04:Mcdonalds,/menu-images/artisan-grilled-chicken-sandwich.jpeg,kaggle-fastfood-v2:Crispy Chicken
classic-chicken-sandwich,Classic Chicken Sandwich,chicken,679,estimated,510,25,chicken,tidytuesday-2018-09-04:Mcdonalds,/menu-images/classic-chicken-sandwich.jpeg,kaggle-fastfood-v2:Crispy Chicken
crispy-bacon-smokehouse-chicken-sandwich,Crispy Bacon Smokehouse Chicken Sandwich,chicken,849,estimated,920,46,chicken|bacon,tidytuesday-2018-09-04:Mcdonalds,/menu-images/crispy-bacon-smokehouse-chicken-sandwich.jpeg,kaggle-fastfood-v2:Crispy Chicken
crispy-garlic-white-cheddar-chicken-sandwich,Crispy Garlic White Cheddar Chicken Sandwich,chicken,759,estimated,700,33,chicken,tidytuesday-2018-09-04:Mcdonalds,/menu-images/crispy-garlic-white-cheddar-chicken-sandwich.jpeg,kaggle-fastfood-v2:Crispy Chicken
crispy-maple-bacon-dijon-chicken-sandwich,Crispy Maple Bacon Dijon Chicken Sandwich,chicken,779,estimated,740,39,chicken|bacon,tidytuesday-2018-09-04:Mcdonalds,/menu-images/crispy-maple-bacon-dijon-chicken-sandwich.jpeg,kaggle-fastfood-v2:Crispy Chicken
